#time   N_coke_start   N_coke_curr N_finecoke_start N_finecoke_curr
10500 11735 11734 217 216
10560 11735 11727 217 215
10620 11735 11730 217 214
10680 11735 11735 217 207
10740 11735 11734 217 207
10800 11735 11733 217 215
10860 11735 11732 217 215
10920 11735 11729 217 209
10980 11735 11733 217 213
11040 11735 11726 217 217
11100 11735 11734 217 215
11160 11735 11730 217 212
11220 11735 11735 217 212
11280 11735 11735 217 215
11340 11735 11731 217 216
11400 11735 11729 217 209
11460 11735 11733 217 210
11520 11735 11735 217 215
11580 11735 11735 217 212
11640 11735 11734 217 216
11700 11735 11729 217 216
11760 11735 11728 217 213
11820 11735 11735 217 215
11880 11735 11735 217 214
11940 11735 11721 217 217
12000 11735 11732 217 211
12060 11735 11725 217 214
12120 11735 11735 217 215
12180 11735 11734 217 208
12240 11735 11726 217 213
12300 11735 11728 217 213
12360 11735 11729 217 213
12420 11735 11735 217 215
12480 11735 11735 217 212
12540 11735 11728 217 212
12600 11735 11729 217 207
12660 11735 11732 217 216
12720 11735 11729 217 212
12780 11735 11727 217 214
12840 11735 11721 217 213
12900 11735 11731 217 214
12960 11735 11734 217 216
13020 11735 11735 217 210
13080 11735 11735 217 215
13140 11735 11730 217 211
13200 11735 11730 217 215
13260 11735 11723 217 216
