#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	volIntegrate(rhoeps)	volIntegrate(rho)
              137	1.0469530825e-01	1.0469551343e-01
              138	1.0469526851e-01	1.0469547369e-01
              139	1.0469522858e-01	1.0469543376e-01
              140	1.0469518893e-01	1.0469539410e-01
              141	1.0469514919e-01	1.0469535437e-01
              142	1.0469510926e-01	1.0469531443e-01
              143	1.0469506935e-01	1.0469527451e-01
              144	1.0469502940e-01	1.0469523456e-01
              145	1.0469498946e-01	1.0469519462e-01
              146	1.0469494956e-01	1.0469515472e-01
              147	1.0469490975e-01	1.0469511490e-01
              148	1.0469486999e-01	1.0469507515e-01
              149	1.0469483021e-01	1.0469503537e-01
              150	1.0469479046e-01	1.0469499561e-01
              151	1.0469475095e-01	1.0469495609e-01
              152	1.0469471142e-01	1.0469491657e-01
              153	1.0469467195e-01	1.0469487709e-01
              154	1.0469463253e-01	1.0469483767e-01
              155	1.0469459329e-01	1.0469479843e-01
              156	1.0469455414e-01	1.0469475927e-01
              157	1.0469451521e-01	1.0469472034e-01
              158	1.0469447635e-01	1.0469468148e-01
              159	1.0469443759e-01	1.0469464272e-01
              160	1.0469439896e-01	1.0469460409e-01
              161	1.0469436039e-01	1.0469456551e-01
              162	1.0469432213e-01	1.0469452725e-01
              163	1.0469428389e-01	1.0469448901e-01
              164	1.0469424575e-01	1.0469445087e-01
              165	1.0469420781e-01	1.0469441293e-01
              166	1.0469417001e-01	1.0469437513e-01
              167	1.0469413234e-01	1.0469433746e-01
              168	1.0469409484e-01	1.0469429995e-01
              169	1.0469405741e-01	1.0469426253e-01
              170	1.0469402026e-01	1.0469422537e-01
              171	1.0469398330e-01	1.0469418841e-01
              172	1.0469394646e-01	1.0469415157e-01
              173	1.0469390962e-01	1.0469411473e-01
              174	1.0469387312e-01	1.0469407823e-01
              175	1.0469383667e-01	1.0469404178e-01
              176	1.0469380040e-01	1.0469400550e-01
              177	1.0469376434e-01	1.0469396944e-01
              178	1.0469372846e-01	1.0469393356e-01
              179	1.0469369261e-01	1.0469389771e-01
              180	1.0469365704e-01	1.0469386214e-01
              181	1.0469362168e-01	1.0469382678e-01
              182	1.0469358639e-01	1.0469379149e-01
              183	1.0469355133e-01	1.0469375642e-01
              184	1.0469351651e-01	1.0469372160e-01
              185	1.0469348164e-01	1.0469368673e-01
              186	1.0469344686e-01	1.0469365195e-01
              187	1.0469341247e-01	1.0469361756e-01
              188	1.0469337804e-01	1.0469358313e-01
              189	1.0469334396e-01	1.0469354905e-01
              190	1.0469330984e-01	1.0469351493e-01
              191	1.0469327585e-01	1.0469348093e-01
              192	1.0469324208e-01	1.0469344716e-01
              193	1.0469320851e-01	1.0469341359e-01
              194	1.0469317493e-01	1.0469338001e-01
              195	1.0469314177e-01	1.0469334685e-01
              196	1.0469310877e-01	1.0469331385e-01
              197	1.0469307594e-01	1.0469328102e-01
              198	1.0469304310e-01	1.0469324818e-01
              199	1.0469301045e-01	1.0469321552e-01
              200	1.0469297784e-01	1.0469318291e-01
              201	1.0469294531e-01	1.0469315038e-01
              202	1.0469291296e-01	1.0469311803e-01
              203	1.0469288082e-01	1.0469308590e-01
              204	1.0469284881e-01	1.0469305388e-01
              205	1.0469281690e-01	1.0469302197e-01
              206	1.0469278526e-01	1.0469299033e-01
              207	1.0469275364e-01	1.0469295871e-01
              208	1.0469272215e-01	1.0469292722e-01
              209	1.0469269075e-01	1.0469289581e-01
              210	1.0469265946e-01	1.0469286452e-01
              211	1.0469262829e-01	1.0469283336e-01
              212	1.0469259721e-01	1.0469280227e-01
              213	1.0469256630e-01	1.0469277136e-01
              214	1.0469253561e-01	1.0469274068e-01
              215	1.0469250515e-01	1.0469271022e-01
              216	1.0469247460e-01	1.0469267966e-01
              217	1.0469244427e-01	1.0469264933e-01
              218	1.0469241406e-01	1.0469261912e-01
              219	1.0469238399e-01	1.0469258905e-01
              220	1.0469235382e-01	1.0469255888e-01
              221	1.0469232408e-01	1.0469252914e-01
              222	1.0469229429e-01	1.0469249935e-01
              223	1.0469226467e-01	1.0469246973e-01
              224	1.0469223521e-01	1.0469244027e-01
              225	1.0469220580e-01	1.0469241085e-01
              226	1.0469217649e-01	1.0469238155e-01
              227	1.0469214733e-01	1.0469235238e-01
              228	1.0469211830e-01	1.0469232335e-01
              229	1.0469208933e-01	1.0469229438e-01
              230	1.0469206043e-01	1.0469226549e-01
              231	1.0469203158e-01	1.0469223663e-01
              232	1.0469200294e-01	1.0469220800e-01
              233	1.0469197435e-01	1.0469217940e-01
              234	1.0469194582e-01	1.0469215088e-01
              235	1.0469191744e-01	1.0469212250e-01
              236	1.0469188927e-01	1.0469209432e-01
              237	1.0469186104e-01	1.0469206609e-01
              238	1.0469183307e-01	1.0469203812e-01
              239	1.0469180522e-01	1.0469201027e-01
              240	1.0469177722e-01	1.0469198227e-01
              241	1.0469174948e-01	1.0469195454e-01
              242	1.0469172198e-01	1.0469192703e-01
              243	1.0469169441e-01	1.0469189946e-01
              244	1.0469166707e-01	1.0469187212e-01
              245	1.0469163972e-01	1.0469184477e-01
              246	1.0469161243e-01	1.0469181748e-01
              247	1.0469158541e-01	1.0469179046e-01
              248	1.0469155835e-01	1.0469176340e-01
              249	1.0469153150e-01	1.0469173655e-01
              250	1.0469150455e-01	1.0469170960e-01
              251	1.0469147778e-01	1.0469168283e-01
              252	1.0469145120e-01	1.0469165625e-01
              253	1.0469142474e-01	1.0469162979e-01
              254	1.0469139831e-01	1.0469160336e-01
              255	1.0469137196e-01	1.0469157701e-01
              256	1.0469134572e-01	1.0469155077e-01
              257	1.0469131956e-01	1.0469152461e-01
              258	1.0469129330e-01	1.0469149835e-01
              259	1.0469126734e-01	1.0469147239e-01
              260	1.0469124133e-01	1.0469144638e-01
              261	1.0469121547e-01	1.0469142052e-01
              262	1.0469118980e-01	1.0469139486e-01
              263	1.0469116408e-01	1.0469136914e-01
              264	1.0469113831e-01	1.0469134336e-01
              265	1.0469111275e-01	1.0469131780e-01
              266	1.0469108729e-01	1.0469129234e-01
              267	1.0469106182e-01	1.0469126687e-01
              268	1.0469103657e-01	1.0469124162e-01
              269	1.0469101137e-01	1.0469121642e-01
              270	1.0469098618e-01	1.0469119123e-01
              271	1.0469096107e-01	1.0469116612e-01
              272	1.0469093622e-01	1.0469114127e-01
              273	1.0469091127e-01	1.0469111633e-01
              274	1.0469088649e-01	1.0469109155e-01
              275	1.0469086173e-01	1.0469106678e-01
              276	1.0469083686e-01	1.0469104191e-01
              277	1.0469081220e-01	1.0469101725e-01
              278	1.0469078762e-01	1.0469099267e-01
              279	1.0469076312e-01	1.0469096817e-01
              280	1.0469073881e-01	1.0469094386e-01
              281	1.0469071447e-01	1.0469091952e-01
              282	1.0469069038e-01	1.0469089543e-01
              283	1.0469066624e-01	1.0469087129e-01
              284	1.0469064206e-01	1.0469084712e-01
              285	1.0469061796e-01	1.0469082302e-01
              286	1.0469059405e-01	1.0469079911e-01
              287	1.0469057011e-01	1.0469077517e-01
              288	1.0469054624e-01	1.0469075130e-01
              289	1.0469052242e-01	1.0469072747e-01
              290	1.0469049896e-01	1.0469070401e-01
              291	1.0469047542e-01	1.0469068047e-01
              292	1.0469045190e-01	1.0469065696e-01
              293	1.0469042858e-01	1.0469063364e-01
              294	1.0469040526e-01	1.0469061032e-01
              295	1.0469038188e-01	1.0469058693e-01
              296	1.0469035859e-01	1.0469056365e-01
              297	1.0469033533e-01	1.0469054039e-01
              298	1.0469031224e-01	1.0469051730e-01
              299	1.0469028917e-01	1.0469049423e-01
              300	1.0469026614e-01	1.0469047120e-01
              301	1.0469024321e-01	1.0469044827e-01
              302	1.0469022034e-01	1.0469042540e-01
              303	1.0469019747e-01	1.0469040253e-01
              304	1.0469017482e-01	1.0469037988e-01
              305	1.0469015204e-01	1.0469035710e-01
              306	1.0469012938e-01	1.0469033445e-01
              307	1.0469010679e-01	1.0469031186e-01
              308	1.0469008407e-01	1.0469028914e-01
              309	1.0469006160e-01	1.0469026666e-01
              310	1.0469003929e-01	1.0469024435e-01
              311	1.0469001687e-01	1.0469022193e-01
              312	1.0468999464e-01	1.0469019970e-01
              313	1.0468997240e-01	1.0469017746e-01
              314	1.0468995029e-01	1.0469015536e-01
              315	1.0468992825e-01	1.0469013332e-01
              316	1.0468990624e-01	1.0469011131e-01
              317	1.0468988435e-01	1.0469008942e-01
              318	1.0468986245e-01	1.0469006752e-01
              319	1.0468984058e-01	1.0469004566e-01
              320	1.0468981872e-01	1.0469002379e-01
              321	1.0468979708e-01	1.0469000215e-01
              322	1.0468977546e-01	1.0468998053e-01
              323	1.0468975392e-01	1.0468995899e-01
              324	1.0468973224e-01	1.0468993732e-01
              325	1.0468971082e-01	1.0468991589e-01
              326	1.0468968946e-01	1.0468989454e-01
              327	1.0468966804e-01	1.0468987312e-01
              328	1.0468964657e-01	1.0468985164e-01
              329	1.0468962518e-01	1.0468983026e-01
              330	1.0468960388e-01	1.0468980896e-01
              331	1.0468958266e-01	1.0468978774e-01
              332	1.0468956161e-01	1.0468976669e-01
              333	1.0468954042e-01	1.0468974550e-01
              334	1.0468951931e-01	1.0468972439e-01
              335	1.0468949833e-01	1.0468970341e-01
              336	1.0468947751e-01	1.0468968259e-01
              337	1.0468945668e-01	1.0468966176e-01
              338	1.0468943577e-01	1.0468964085e-01
              339	1.0468941497e-01	1.0468962006e-01
              340	1.0468939423e-01	1.0468959932e-01
              341	1.0468937342e-01	1.0468957850e-01
              342	1.0468935277e-01	1.0468955785e-01
              343	1.0468933204e-01	1.0468953713e-01
              344	1.0468931149e-01	1.0468951658e-01
              345	1.0468929097e-01	1.0468949606e-01
              346	1.0468927040e-01	1.0468947549e-01
              347	1.0468925009e-01	1.0468945518e-01
              348	1.0468922986e-01	1.0468943495e-01
              349	1.0468920949e-01	1.0468941458e-01
              350	1.0468918932e-01	1.0468939442e-01
              351	1.0468916902e-01	1.0468937412e-01
              352	1.0468914905e-01	1.0468935414e-01
              353	1.0468912890e-01	1.0468933399e-01
              354	1.0468910869e-01	1.0468931379e-01
              355	1.0468908862e-01	1.0468929372e-01
              356	1.0468906861e-01	1.0468927371e-01
              357	1.0468904865e-01	1.0468925375e-01
              358	1.0468902878e-01	1.0468923389e-01
              359	1.0468900894e-01	1.0468921404e-01
              360	1.0468898911e-01	1.0468919421e-01
              361	1.0468896929e-01	1.0468917439e-01
              362	1.0468894954e-01	1.0468915465e-01
              363	1.0468892985e-01	1.0468913495e-01
              364	1.0468891026e-01	1.0468911537e-01
              365	1.0468889074e-01	1.0468909585e-01
              366	1.0468887119e-01	1.0468907629e-01
              367	1.0468885174e-01	1.0468905685e-01
              368	1.0468883235e-01	1.0468903746e-01
              369	1.0468881303e-01	1.0468901814e-01
              370	1.0468879363e-01	1.0468899874e-01
              371	1.0468877427e-01	1.0468897939e-01
              372	1.0468875493e-01	1.0468896004e-01
              373	1.0468873572e-01	1.0468894083e-01
              374	1.0468871651e-01	1.0468892163e-01
              375	1.0468869741e-01	1.0468890253e-01
              376	1.0468867833e-01	1.0468888345e-01
              377	1.0468865932e-01	1.0468886444e-01
              378	1.0468864029e-01	1.0468884541e-01
              379	1.0468862131e-01	1.0468882643e-01
              380	1.0468860238e-01	1.0468880750e-01
              381	1.0468858350e-01	1.0468878862e-01
              382	1.0468856459e-01	1.0468876971e-01
              383	1.0468854581e-01	1.0468875093e-01
              384	1.0468852706e-01	1.0468873218e-01
              385	1.0468850830e-01	1.0468871343e-01
              386	1.0468848968e-01	1.0468869481e-01
              387	1.0468847099e-01	1.0468867612e-01
              388	1.0468845251e-01	1.0468865764e-01
              389	1.0468843392e-01	1.0468863905e-01
              390	1.0468841533e-01	1.0468862047e-01
              391	1.0468839683e-01	1.0468860197e-01
              392	1.0468837839e-01	1.0468858353e-01
              393	1.0468836007e-01	1.0468856520e-01
              394	1.0468834175e-01	1.0468854689e-01
              395	1.0468832335e-01	1.0468852848e-01
              396	1.0468830505e-01	1.0468851019e-01
              397	1.0468828685e-01	1.0468849199e-01
              398	1.0468826860e-01	1.0468847374e-01
              399	1.0468825049e-01	1.0468845563e-01
              400	1.0468823240e-01	1.0468843755e-01
              401	1.0468821418e-01	1.0468841932e-01
              402	1.0468819613e-01	1.0468840127e-01
              403	1.0468817806e-01	1.0468838321e-01
              404	1.0468816001e-01	1.0468836516e-01
              405	1.0468814211e-01	1.0468834726e-01
              406	1.0468812427e-01	1.0468832942e-01
              407	1.0468810624e-01	1.0468831139e-01
              408	1.0468808813e-01	1.0468829328e-01
              409	1.0468807033e-01	1.0468827548e-01
              410	1.0468805257e-01	1.0468825772e-01
              411	1.0468803488e-01	1.0468824004e-01
              412	1.0468801703e-01	1.0468822219e-01
              413	1.0468799931e-01	1.0468820447e-01
              414	1.0468798158e-01	1.0468818674e-01
              415	1.0468796394e-01	1.0468816910e-01
              416	1.0468794634e-01	1.0468815151e-01
              417	1.0468792879e-01	1.0468813396e-01
              418	1.0468791119e-01	1.0468811636e-01
              419	1.0468789372e-01	1.0468809889e-01
              420	1.0468787614e-01	1.0468808131e-01
              421	1.0468785862e-01	1.0468806379e-01
              422	1.0468784116e-01	1.0468804633e-01
              423	1.0468782371e-01	1.0468802889e-01
              424	1.0468780634e-01	1.0468801152e-01
              425	1.0468778898e-01	1.0468799415e-01
              426	1.0468777171e-01	1.0468797689e-01
              427	1.0468775453e-01	1.0468795971e-01
              428	1.0468773726e-01	1.0468794244e-01
              429	1.0468772005e-01	1.0468792523e-01
              430	1.0468770289e-01	1.0468790807e-01
              431	1.0468768576e-01	1.0468789095e-01
              432	1.0468766872e-01	1.0468787390e-01
              433	1.0468765158e-01	1.0468785676e-01
              434	1.0468763446e-01	1.0468783965e-01
              435	1.0468761729e-01	1.0468782248e-01
              436	1.0468760035e-01	1.0468780554e-01
              437	1.0468758340e-01	1.0468778858e-01
              438	1.0468756648e-01	1.0468777167e-01
              439	1.0468754950e-01	1.0468775469e-01
              440	1.0468753272e-01	1.0468773791e-01
              441	1.0468751580e-01	1.0468772100e-01
              442	1.0468749888e-01	1.0468770408e-01
              443	1.0468748214e-01	1.0468768734e-01
              444	1.0468746545e-01	1.0468767065e-01
              445	1.0468744875e-01	1.0468765395e-01
              446	1.0468743205e-01	1.0468763725e-01
              447	1.0468741528e-01	1.0468762049e-01
              448	1.0468739877e-01	1.0468760398e-01
              449	1.0468738231e-01	1.0468758751e-01
              450	1.0468736584e-01	1.0468757105e-01
              451	1.0468734936e-01	1.0468755457e-01
              452	1.0468733291e-01	1.0468753812e-01
              453	1.0468731630e-01	1.0468752151e-01
              454	1.0468729988e-01	1.0468750509e-01
              455	1.0468728350e-01	1.0468748871e-01
              456	1.0468726709e-01	1.0468747230e-01
              457	1.0468725091e-01	1.0468745613e-01
              458	1.0468723464e-01	1.0468743986e-01
              459	1.0468721829e-01	1.0468742351e-01
              460	1.0468720201e-01	1.0468740723e-01
              461	1.0468718569e-01	1.0468739091e-01
              462	1.0468716943e-01	1.0468737465e-01
              463	1.0468715312e-01	1.0468735835e-01
              464	1.0468713697e-01	1.0468734219e-01
              465	1.0468712090e-01	1.0468732613e-01
              466	1.0468710482e-01	1.0468731005e-01
              467	1.0468708876e-01	1.0468729399e-01
              468	1.0468707262e-01	1.0468727785e-01
              469	1.0468705657e-01	1.0468726181e-01
              470	1.0468704066e-01	1.0468724590e-01
              471	1.0468702470e-01	1.0468722994e-01
              472	1.0468700872e-01	1.0468721395e-01
              473	1.0468699277e-01	1.0468719801e-01
              474	1.0468697688e-01	1.0468718212e-01
              475	1.0468696100e-01	1.0468716624e-01
              476	1.0468694510e-01	1.0468715034e-01
              477	1.0468692936e-01	1.0468713460e-01
              478	1.0468691352e-01	1.0468711877e-01
              479	1.0468689781e-01	1.0468710306e-01
              480	1.0468688201e-01	1.0468708726e-01
              481	1.0468686631e-01	1.0468707156e-01
              482	1.0468685050e-01	1.0468705575e-01
              483	1.0468683485e-01	1.0468704010e-01
              484	1.0468681914e-01	1.0468702440e-01
              485	1.0468680353e-01	1.0468700879e-01
              486	1.0468678800e-01	1.0468699326e-01
              487	1.0468677253e-01	1.0468697779e-01
              488	1.0468675710e-01	1.0468696236e-01
              489	1.0468674173e-01	1.0468694699e-01
              490	1.0468672643e-01	1.0468693169e-01
              491	1.0468671101e-01	1.0468691628e-01
              492	1.0468669564e-01	1.0468690091e-01
              493	1.0468668026e-01	1.0468688553e-01
              494	1.0468666487e-01	1.0468687014e-01
              495	1.0468664965e-01	1.0468685492e-01
              496	1.0468663438e-01	1.0468683966e-01
              497	1.0468661900e-01	1.0468682428e-01
              498	1.0468660361e-01	1.0468680888e-01
              499	1.0468658844e-01	1.0468679372e-01
              500	1.0468657321e-01	1.0468677849e-01
              501	1.0468655780e-01	1.0468676308e-01
              502	1.0468654261e-01	1.0468674789e-01
              503	1.0468652740e-01	1.0468673268e-01
              504	1.0468651226e-01	1.0468671755e-01
              505	1.0468649718e-01	1.0468670247e-01
              506	1.0468648225e-01	1.0468668754e-01
              507	1.0468646734e-01	1.0468667263e-01
              508	1.0468645229e-01	1.0468665759e-01
              509	1.0468643711e-01	1.0468664240e-01
              510	1.0468642205e-01	1.0468662735e-01
              511	1.0468640711e-01	1.0468661240e-01
              512	1.0468639212e-01	1.0468659742e-01
              513	1.0468637708e-01	1.0468658238e-01
              514	1.0468636211e-01	1.0468656741e-01
              515	1.0468634718e-01	1.0468655248e-01
              516	1.0468633220e-01	1.0468653750e-01
              517	1.0468631743e-01	1.0468652274e-01
              518	1.0468630258e-01	1.0468650788e-01
              519	1.0468628779e-01	1.0468649310e-01
              520	1.0468627300e-01	1.0468647831e-01
              521	1.0468625819e-01	1.0468646350e-01
              522	1.0468624348e-01	1.0468644879e-01
              523	1.0468622875e-01	1.0468643406e-01
              524	1.0468621406e-01	1.0468641937e-01
              525	1.0468619970e-01	1.0468640502e-01
              526	1.0468618506e-01	1.0468639038e-01
              527	1.0468617048e-01	1.0468637580e-01
              528	1.0468615570e-01	1.0468636103e-01
              529	1.0468614121e-01	1.0468634653e-01
              530	1.0468612661e-01	1.0468633193e-01
              531	1.0468611209e-01	1.0468631742e-01
              532	1.0468609770e-01	1.0468630303e-01
              533	1.0468608324e-01	1.0468628858e-01
              534	1.0468606884e-01	1.0468627417e-01
              535	1.0468605435e-01	1.0468625969e-01
              536	1.0468603994e-01	1.0468624528e-01
              537	1.0468602541e-01	1.0468623075e-01
              538	1.0468601095e-01	1.0468621629e-01
              539	1.0468599666e-01	1.0468620201e-01
              540	1.0468598229e-01	1.0468618763e-01
              541	1.0468596804e-01	1.0468617339e-01
              542	1.0468595374e-01	1.0468615908e-01
              543	1.0468593952e-01	1.0468614487e-01
              544	1.0468592535e-01	1.0468613070e-01
              545	1.0468591125e-01	1.0468611661e-01
              546	1.0468589704e-01	1.0468610239e-01
              547	1.0468588285e-01	1.0468608820e-01
              548	1.0468586869e-01	1.0468607405e-01
              549	1.0468585462e-01	1.0468605998e-01
              550	1.0468584047e-01	1.0468604583e-01
              551	1.0468582640e-01	1.0468603176e-01
              552	1.0468581233e-01	1.0468601769e-01
              553	1.0468579819e-01	1.0468600355e-01
              554	1.0468578420e-01	1.0468598956e-01
              555	1.0468577031e-01	1.0468597568e-01
              556	1.0468575624e-01	1.0468596161e-01
              557	1.0468574242e-01	1.0468594779e-01
              558	1.0468572847e-01	1.0468593384e-01
              559	1.0468571454e-01	1.0468591991e-01
              560	1.0468570079e-01	1.0468590617e-01
              561	1.0468568696e-01	1.0468589234e-01
              562	1.0468567310e-01	1.0468587848e-01
              563	1.0468565922e-01	1.0468586460e-01
              564	1.0468564534e-01	1.0468585073e-01
              565	1.0468563153e-01	1.0468583691e-01
              566	1.0468561774e-01	1.0468582312e-01
              567	1.0468560401e-01	1.0468580940e-01
              568	1.0468559018e-01	1.0468579556e-01
              569	1.0468557651e-01	1.0468578190e-01
              570	1.0468556279e-01	1.0468576819e-01
              571	1.0468554908e-01	1.0468575447e-01
              572	1.0468553537e-01	1.0468574077e-01
              573	1.0468552165e-01	1.0468572705e-01
              574	1.0468550802e-01	1.0468571342e-01
              575	1.0468549439e-01	1.0468569979e-01
              576	1.0468548072e-01	1.0468568613e-01
              577	1.0468546715e-01	1.0468567255e-01
              578	1.0468545354e-01	1.0468565895e-01
              579	1.0468543998e-01	1.0468564539e-01
              580	1.0468542643e-01	1.0468563184e-01
              581	1.0468541288e-01	1.0468561829e-01
              582	1.0468539921e-01	1.0468560462e-01
              583	1.0468538562e-01	1.0468559104e-01
              584	1.0468537243e-01	1.0468557785e-01
              585	1.0468535900e-01	1.0468556442e-01
              586	1.0468534560e-01	1.0468555102e-01
              587	1.0468533216e-01	1.0468553759e-01
              588	1.0468531866e-01	1.0468552408e-01
              589	1.0468530518e-01	1.0468551061e-01
              590	1.0468529193e-01	1.0468549736e-01
              591	1.0468527862e-01	1.0468548405e-01
              592	1.0468526519e-01	1.0468547062e-01
              593	1.0468525191e-01	1.0468545734e-01
              594	1.0468523861e-01	1.0468544404e-01
              595	1.0468522529e-01	1.0468543072e-01
              596	1.0468521203e-01	1.0468541747e-01
              597	1.0468519887e-01	1.0468540431e-01
              598	1.0468518574e-01	1.0468539118e-01
              599	1.0468517267e-01	1.0468537812e-01
              600	1.0468515949e-01	1.0468536493e-01
              601	1.0468514629e-01	1.0468535174e-01
              602	1.0468513323e-01	1.0468533868e-01
